Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24,dhid
Drouin,Drouin Primary Early Learning Centre,School Road,VIC,3818,2021-10-04,04/10/2021,9:00am - 2:15pm,Case attended venue,2021-10-07,07/10/2021,22:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,14:15:00,G9C4
Airport West,Nido Early School - Airport West,64 Parer Road,VIC,3042,2021-10-04,04/10/2021,8:30am - 5:30pm,Case attended venue,2021-10-07,07/10/2021,22:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:30:00,17:30:00,F9L7
Queenscliff,Rolling Pin Pies & Cakes Queenscliff,40 Hesse Street,VIC,3225,2021-10-02,02/10/2021,2:40pm - 3:50pm,Case attended venue,2021-10-07,07/10/2021,22:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,14:40:00,15:50:00,G6D4
East Bendigo,RMIT Hanger (Bendigo Airport) East Bendigo,35 Victa Road,VIC,3350,2021-10-04,04/10/2021,8:50am - 4:30pm,Case attended venue,2021-10-07,07/10/2021,22:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:50:00,16:30:00,G7B2
Ocean Grove,KFC Ocean Grove,142 Shell Road,VIC,3226,2021-10-02,02/10/2021,11:25am - 4:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-07,07/10/2021,22:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,11:25:00,16:30:00,G8Y9
Colac West,Greg Allan Farm Machinery Colac,408 Princes Highway,VIC,3250,2021-10-04,04/10/2021,7:00am - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-07,07/10/2021,22:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:00:00,17:30:00,G9G8
Colac West,Greg Allan Farm Machinery Colac,408 Princes Highway,VIC,3250,2021-10-05,05/10/2021,7:00am - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-07,07/10/2021,22:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:00:00,17:30:00,G5C2
Colac West,Greg Allan Farm Machinery Colac,408 Princes Highway,VIC,3250,2021-10-06,06/10/2021,7:00am - 5:30pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-07,07/10/2021,22:00:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:00:00,17:30:00,F9A7
North Geelong,Seda College Geelong - Multi Geelong Geelong Arena,110 Victoria Street,VIC,3215,2021-10-04,04/10/2021,9:00am - 3:30pm,Case attended venue,2021-10-07,07/10/2021,22:00:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,09:00:00,15:30:00,F5D9
Sunbury,Complete Kids Early Learning Centre,75 Phillip Drive,VIC,3429,2021-09-30,30/09/2021,6:30am - 3:30pm,Case attended venue,2021-10-07,07/10/2021,13:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:30:00,15:30:00,F7H9
Narre Warren South,Astra Early Learning - Narre Warren South,75 Shrives Road,VIC,3805,2021-10-05,05/10/2021,7:15am - 3:45pm,Case attended venue,2021-10-07,07/10/2021,13:50:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,07:15:00,15:45:00,F6R6
Lynbrook,Goodstart Early Learning Lynbrook,"""Lynbrook Village Shopping Centre 10 Harris Street""",VIC,3975,2021-10-04,04/10/2021,7:00am - 6:00pm,Case attended venue. Some individuals will be Tier 1 contacts required to quarantine for 14 days and the Department will be in contact with them directly with this advice.,2021-10-07,07/10/2021,12:55:00,Tier 2 - Get tested urgently and isolate until you have a negative result,tier2,07:00:00,18:00:00,G7Q3
Preston,Kool Kidz Childcare Preston,59 Plenty Road,VIC,3072,2021-09-30,30/09/2021,11:00am - 4:30pm,Case attended venue,2021-10-07,07/10/2021,12:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,11:00:00,16:30:00,F3S2
Preston,Kool Kidz Childcare Preston,59 Plenty Road,VIC,3072,2021-10-01,01/10/2021,11:00am - 4:30pm,Case attended venue,2021-10-07,07/10/2021,12:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,11:00:00,16:30:00,F5C2
Melton,Nino Early Learning Adventures - Melton,7 Reserve Road,VIC,3337,2021-09-30,30/09/2021,7:15am - 4:00pm,Case attended venue,2021-10-07,07/10/2021,12:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,07:15:00,16:00:00,G4Z2
Melton,Nino Early Learning Adventures - Melton,7 Reserve Road,VIC,3337,2021-10-01,01/10/2021,7:15am - 4:00pm,Case attended venue,2021-10-07,07/10/2021,12:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,07:15:00,16:00:00,G8C5
Tarneit,Child's Play Early Learning Centre,642 Tarneit Road,VIC,3029,2021-10-02,02/10/2021,7:00am - 5:30pm,Case attended venue,2021-10-07,07/10/2021,10:35:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,07:00:00,17:30:00,F5G4
Collingwood,LCI Melbourne	,150 Oxford Street,VIC,3066,2021-09-30,30/09/2021,11:00am - 3:30pm,Case attended venue,2021-10-07,07/10/2021,10:35:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,11:00:00,15:30:00,G4N3
Rockbank,Big Childcare OSHC - Rockbank Primary School,97/105 Westcott Parade,VIC,3335,2021-10-04,04/10/2021,6:30am - 9:00am,Case attended venue,2021-10-07,07/10/2021,10:35:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,06:30:00,09:00:00,G6J5
Mooroolbark,KingKids Early Learning Centre and Kindergarten Mooroolbark,101-103 Manchester Road,VIC,3138,2021-09-29,29/09/2021,8:00am - 12:00pm,Case attended venue,2021-10-06,06/10/2021,21:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:00:00,12:00:00,F6A7
Mooroolbark,KingKids Early Learning Centre and Kindergarten Mooroolbark,101-103 Manchester Road,VIC,3138,2021-09-30,30/09/2021,8:00am - 12:00pm,Case attended venue,2021-10-06,06/10/2021,21:55:00,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,tier1,08:00:00,12:00:00,G3R6
